fan_bust,calibrated
0.00000,0.07809
0.01000,0.07809
0.02000,0.07809
0.03000,0.07809
0.04000,0.07809
0.05000,0.07809
0.06000,0.07809
0.07000,0.07809
0.08000,0.07809
0.09000,0.07809
0.10000,0.07809
0.11000,0.07809
0.12000,0.16129
0.13000,0.16129
0.14000,0.16129
0.15000,0.17007
0.16000,0.17007
0.17000,0.17007
0.18000,0.17007
0.19000,0.17007
0.20000,0.18313
0.21000,0.18313
0.22000,0.18313
0.23000,0.18313
0.24000,0.18313
0.25000,0.18313
0.26000,0.18313
0.27000,0.18313
0.28000,0.18313
0.29000,0.18313
0.30000,0.18313
0.31000,0.18313
0.32000,0.28687
0.33000,0.28750
0.34000,0.28750
0.35000,0.28750
0.36000,0.28750
0.37000,0.28750
0.38000,0.28750
0.39000,0.28750
0.40000,0.28750
0.41000,0.28750
0.42000,0.28750
0.43000,0.28750
0.44000,0.28750
0.45000,0.28750
0.46000,0.28750
0.47000,0.28750
0.48000,0.28750
0.49000,0.28750
0.50000,0.28750
0.51000,0.28750
0.52000,0.28750
0.53000,0.28750
0.54000,0.28750
0.55000,0.28750
0.56000,0.28750
0.57000,0.28750
0.58000,0.28750
0.59000,0.28750
0.60000,0.28750
0.61000,0.28750
0.62000,0.28750
0.63000,0.28750
0.64000,0.28750
0.65000,0.28750
0.66000,0.28750
0.67000,0.28750
0.68000,0.28750
0.69000,0.28750
0.70000,0.28750
0.71000,0.28750
0.72000,0.28750
0.73000,0.28750
0.74000,0.28750
0.75000,0.28750
0.76000,0.28750
0.77000,0.28750
0.78000,0.28750
0.79000,0.28750
0.80000,0.28750
0.81000,0.28750
0.82000,0.28750
0.83000,0.28750
0.84000,0.28750
0.85000,0.28750
0.86000,0.28750
0.87000,0.28750
0.88000,0.28750
0.89000,0.28750
0.90000,0.28750
0.91000,0.28750
0.92000,0.28750
0.93000,0.28750
0.94000,0.28750
0.95000,0.28750
0.96000,0.28750
0.97000,0.28750
0.98000,0.28750
0.99000,0.28750
1.00000,0.28750
